Hash;Primer;Domain;Phylym;Class;Order;Family;Genus;Species
b50193fba81ef9a49d04e8b26f56c8d4e83ef727;18S;Eukaryota;Mollusca;Polyplacophora;Lepidopleurida;NA;NA;NA
52342b066ea25243f463ac1d2a877f73511e1ee1;18S;Eukaryota;Rhodophyta;Florideophyceae;Hapalidiales;Mesophyllumaceae;Leptophytum;Leptophytum laeve
94b19ac16a4adda439f339cfb351bf9f61b0906f;18S;Eukaryota;Arthropoda;Arachnida;Trombidiformes;Linotetranidae;NA;NA
8ed23976cc656ccf08ed18bab6a7dd632de092dc;18S;Eukaryota;Rhodophyta;Florideophyceae;Hapalidiales;Hapalidiaceae;Lithothamnion;NA
802d90fd8153f042e60af690efe970d9a1bc52ea;18S;Eukaryota;Rhodophyta;Florideophyceae;Hapalidiales;Hapalidiaceae;Lithothamnion;NA
5732c4019ef50fa66ff0f1ac079f9dce9eb5f4ed;18S;Eukaryota;Cnidaria;Staurozoa;Stauromedusae;Lucernariidae;Lucernaria;Lucernaria quadricornis
99cf012e9fddb523f7972453e59e65020de5ae7d;18S;Eukaryota;Annelida;Polychaeta;NA;Maldanidae;NA;NA
5d8b08d4c90cd816110860fbee32f00eef2871d0;18S;Eukaryota;Mollusca;Gastropoda;Trochida;Margaritidae;Margarites;Margarites helicinus
abb6611fb682924626a88ce7fb8e1b07f0753aa9;18S;Eukaryota;Annelida;Polychaeta;Sabellida;Sabellidae;NA;NA
f9fbcd012208e2b519a29a4fea2bb678034e5407;18S;Eukaryota;Cnidaria;Myxozoa;Bivalvulida;Myxidiidae;Myxidium;Myxidium gadi
a0bfc78c58bdf4ba62d6570d8ce2274d61994a1b;18S;Eukaryota;Porifera;Demospongiae;Poecilosclerida;Myxillidae;Myxilla;Myxilla incrustans
d186f549bd911454bec5a5b649736948a945bafa;18S;Eukaryota;Chlorophyta;Nephroselmidophyceae;Nephroselmidales;Nephroselmidaceae;Nephroselmis;NA
befbf526cf7750b96eda3accfe33b2de2d77a57f;18S;Eukaryota;Annelida;Polychaeta;Phyllodocida;Nephtyidae;Nephtys;NA
e8e399e185faa93ed6f231850ebb8942aa201409;18S;Eukaryota;Annelida;Polychaeta;Phyllodocida;Nereididae;NA;NA
ff7c60227eb590a7fbce490c3cc3b4dbc76496db;18S;Eukaryota;Annelida;Polychaeta;NA;Opheliidae;Ophelia;NA
becc3443fdd9d8f9d424e75dc04b4159849b679d;18S;Eukaryota;Echinodermata;Ophiuroidea;Amphilepidida;Ophiuridae;Ophiura;NA
cc034e99f83609541aefae9b3d2cd7b4169e3cbb;18S;Eukaryota;Cnidaria;Hydrozoa;Leptothecata;Campanulariidae;Orthopyxis;Orthopyxis integra
ac2ad6b8f2aa08b3e51e0b579c25fd99a88576ac;18S;Eukaryota;Annelida;Polychaeta;Sabellida;Serpulidae;Paradexiospira;Paradexiospira vitrea
d87d8ea3b869b946421ca007c2a88e84c61cca4d;18S;Eukaryota;Chordata;Ascidiacea;Stolidobranchia;Styelidae;Pelonaia;Pelonaia corrugata
11e11e5dce572f6639e6a5ed493022dc3aa4b773;18S;Eukaryota;Rhodophyta;Florideophyceae;Corallinales;Corallinaceae;Pneophyllum;NA
f704b7f034cddf98ebe42620580f807a0a43f49c;18S;Eukaryota;Annelida;Polychaeta;Phyllodocida;Polynoidae;NA;NA
f80d1b260fc389805fcd72616e7bfad60e78aedf;18S;Eukaryota;Annelida;Polychaeta;Phyllodocida;Polynoidae;NA;NA
ac75eb4c29ad3d4346eca5ea28a0fda80ec0db51;18S;Eukaryota;NA;NA;NA;NA;NA;NA
